date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:25:08	5566/5566	---M--	200	added ('OK')	image/jpeg	etag:COr6wbP8x+sCEAE=	https://images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590263490193-6BFVQT5Q9N6IBPX99ZHJ/06_DURANT_7N_ACTION_WHTPB3W_005_RWhite_3.jpg?format=50w	E:/waheed/project_website/images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590263490193-6BFVQT5Q9N6IBPX99ZHJ/06_DURANT_7N_ACTION_WHTPB3W_005_RWhite_39f6a.jpg	(from https://themarcus.com/portfolio/beats-by-dr-dre)
19:25:08	6489/6489	---M--	200	added ('OK')	image/jpeg	etag:CL+toq7jxOsCEAE=	https://images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590263498042-V23H6KMDRYI7BNRCA5ZL/06_JAMES_7N_SEATED_WHTPB3W_0023b.jpg?format=50w	E:/waheed/project_website/images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590263498042-V23H6KMDRYI7BNRCA5ZL/06_JAMES_7N_SEATED_WHTPB3W_0023b9f6a.jpg	(from https://themarcus.com/portfolio/beats-by-dr-dre)
19:25:09	7601/7601	---M--	200	added ('OK')	image/jpeg	etag:CNnNj6rjxOsCEAE=	https://images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590263504137-243OZY4WD3WS94RQ0WVP/06_WHT_PB3_WIRELESS_017.jpg?format=50w	E:/waheed/project_website/images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590263504137-243OZY4WD3WS94RQ0WVP/06_WHT_PB3_WIRELESS_0179f6a.jpg	(from https://themarcus.com/portfolio/beats-by-dr-dre)
19:25:09	7028/7028	---M--	200	added ('OK')	image/jpeg	etag:CPSwkc7jxOsCEAE=	https://images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590263503811-P9DPVQ9DHWFI25WKH5A2/07_WILLIAMS_7N_ACTION_WHTPB3W_019.jpg?format=50w	E:/waheed/project_website/images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590263503811-P9DPVQ9DHWFI25WKH5A2/07_WILLIAMS_7N_ACTION_WHTPB3W_0199f6a.jpg	(from https://themarcus.com/portfolio/beats-by-dr-dre)
19:25:09	3107/3107	---M--	200	added ('OK')	image/jpeg	etag:COeRvK7jxOsCEAE=	https://images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590263502594-L22DZOBJDFZUJKKWHJGH/7na_hero_slider_2.0.jpg.large.2x.jpg?format=50w	E:/waheed/project_website/images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590263502594-L22DZOBJDFZUJKKWHJGH/7na_hero_slider_2.0.jpg.large.2x9f6a.jpg	(from https://themarcus.com/portfolio/beats-by-dr-dre)
19:25:09	46348/46348	---M--	200	added ('OK')	image/jpeg	etag:CMzvqri6ju8CEAE=	https://images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/96afea9a-f80c-4388-b406-69a92e4b1168/TB-2.jpg?format=50w	E:/waheed/project_website/images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/96afea9a-f80c-4388-b406-69a92e4b1168/TB-29f6a.jpg	(from https://themarcus.com/portfolio/beats-by-dr-dre)
19:25:10	5560/5560	---M--	200	added ('OK')	image/jpeg	etag:CKjQva/8x+sCEAE=	https://images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590263503580-4H4P9YSXKELRFAQOWGS9/Serena_Back_Cover.jpg?format=50w	E:/waheed/project_website/images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590263503580-4H4P9YSXKELRFAQOWGS9/Serena_Back_Cover9f6a.jpg	(from https://themarcus.com/portfolio/beats-by-dr-dre)
19:25:11	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Thu,%2027%20Oct%202022%2014:25:27%20GMT	http://static1.squarespace.com/static/5e8f5d9bae8f137fbc83492a/5e8f5e1e8efd1f069d7a959a/5eb42850fda7e452966b9f3f/1617316983675/20180427_ME_ESPN_BreannaStewart_03_0368.jpg?format=1500w	E:/waheed/project_website/static1.squarespace.com/static/5e8f5d9bae8f137fbc83492a/5e8f5e1e8efd1f069d7a959a/5eb42850fda7e452966b9f3f/1617316983675/20180427_ME_ESPN_BreannaStewart_03_036826f7.jpg	(from https://themarcus.com/portfolio/breanna-stewart)
19:25:11	44726/44726	---M--	200	added ('OK')	image/jpeg	etag:CMnC5Li6ju8CEAE=	https://images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/bf0cf8a1-37c0-48d3-a84e-8e3ea6217f3d/TB-1.jpg?format=50w	E:/waheed/project_website/images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/bf0cf8a1-37c0-48d3-a84e-8e3ea6217f3d/TB-19f6a.jpg	(from https://themarcus.com/portfolio/beats-by-dr-dre)
19:25:12	8396/8396	---M--	200	added ('OK')	image/jpeg	etag:CIn1/a38x+sCEAE=	https://images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590263651954-DP4SGY2PHT5THR41XAXO/20180427_ME_ESPN_BreannaStewart_02_0260b.jpg?format=50w	E:/waheed/project_website/images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590263651954-DP4SGY2PHT5THR41XAXO/20180427_ME_ESPN_BreannaStewart_02_0260b9f6a.jpg	(from https://themarcus.com/portfolio/breanna-stewart)
